data_date,network_fee_withdrawn,operator_fee_withdrawn,total_fee_withdrawn,accumulated_network_fee_withdrawn,accumulated_operator_fee_withdrawn,accumulated_total_fee_withdrawn
2024-06-17,0,18.01128639201,18.01128639201,0,10931.575668373576,10931.575668373576
2024-06-16,0,1131.65500596272,1131.65500596272,0,10913.564381981567,10913.564381981567
2024-06-15,0,0,0,0,9781.909376018846,9781.909376018846
2024-06-14,0,71.5394658806,71.5394658806,0,9781.909376018846,9781.909376018846
2024-06-13,0,0,0,0,9710.369910138246,9710.369910138246
2024-06-12,0,137.105890611,137.105890611,0,9710.369910138246,9710.369910138246
2024-06-11,0,87.1862229216,87.1862229216,0,9573.264019527247,9573.264019527247
2024-06-10,0,23.802553965839998,23.802553965839998,0,9486.077796605647,9486.077796605647
2024-06-09,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-08,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-07,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-06,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-05,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-04,0,0,0,0,9462.275242639807,9462.275242639807
2024-06-03,0,57.62107190912,57.62107190912,0,9462.275242639807,9462.275242639807
2024-06-02,0,0,0,0,9404.654170730688,9404.654170730688
2024-06-01,0,1.39008061152,1.39008061152,0,9404.654170730688,9404.654170730688
2024-05-31,0,45.46055269112,45.46055269112,0,9403.264090119168,9403.264090119168
2024-05-30,0,685.3459187521199,685.3459187521199,0,9357.803537428048,9357.803537428048
2024-05-29,0,0,0,0,8672.457618675928,8672.457618675928
2024-05-28,0,257.24894787918004,257.24894787918004,0,8672.457618675928,8672.457618675928
2024-05-27,0,0,0,0,8415.208670796748,8415.208670796748
2024-05-26,0,0,0,0,8415.208670796748,8415.208670796748
2024-05-25,0,29.33344998595,29.33344998595,0,8415.208670796748,8415.208670796748
2024-05-24,0,0,0,0,8385.875220810798,8385.875220810798
2024-05-23,0,0,0,0,8385.875220810798,8385.875220810798
2024-05-22,0,248.81182970084,248.81182970084,0,8385.875220810798,8385.875220810798
2024-05-21,0,0,0,0,8137.0633911099585,8137.0633911099585
2024-05-20,0,0,0,0,8137.0633911099585,8137.0633911099585
2024-05-19,0,1,1,0,8137.0633911099585,8137.0633911099585
2024-05-18,0,0,0,0,8136.0633911099585,8136.0633911099585
2024-05-17,0,0,0,0,8136.0633911099585,8136.0633911099585
2024-05-16,0,98.15144403744,98.15144403744,0,8136.0633911099585,8136.0633911099585
2024-05-15,0,0,0,0,8037.911947072518,8037.911947072518
2024-05-14,0,15.598557219440002,15.598557219440002,0,8037.911947072518,8037.911947072518
2024-05-13,0,0,0,0,8022.313389853078,8022.313389853078
2024-05-12,0,0,0,0,8022.313389853078,8022.313389853078
2024-05-11,0,59.629546208,59.629546208,0,8022.313389853078,8022.313389853078
2024-05-10,0,0,0,0,7962.683843645078,7962.683843645078
2024-05-09,0,0,0,0,7962.683843645078,7962.683843645078
2024-05-08,0,797.8904767811999,797.8904767811999,0,7962.683843645078,7962.683843645078
2024-05-07,0,806.2195357765199,806.2195357765199,0,7164.793366863878,7164.793366863878
2024-05-06,0,0,0,0,6358.5738310873585,6358.5738310873585
2024-05-05,0,0,0,0,6358.5738310873585,6358.5738310873585
2024-05-04,0,0,0,0,6358.5738310873585,6358.5738310873585
2024-05-03,0,26.58886689216,26.58886689216,0,6358.5738310873585,6358.5738310873585
2024-05-02,0,0,0,0,6331.984964195199,6331.984964195199
2024-05-01,0,31.0297297188,31.0297297188,0,6331.984964195199,6331.984964195199
2024-04-30,0,0.06563576976,0.06563576976,0,6300.955234476399,6300.955234476399
2024-04-29,0,0,0,0,6300.889598706639,6300.889598706639
2024-04-28,0,0,0,0,6300.889598706639,6300.889598706639
2024-04-27,0,23.71114796604,23.71114796604,0,6300.889598706639,6300.889598706639
2024-04-26,0,21.46688630748,21.46688630748,0,6277.178450740599,6277.178450740599
2024-04-25,0,0,0,0,6255.711564433119,6255.711564433119
2024-04-24,0,165.34163278802998,165.34163278802998,0,6255.711564433119,6255.711564433119
2024-04-23,0,339.1811301304,339.1811301304,0,6090.369931645088,6090.369931645088
2024-04-22,0,51.269127951479994,51.269127951479994,0,5751.188801514689,5751.188801514689
2024-04-21,0,0,0,0,5699.919673563209,5699.919673563209
2024-04-20,0,0,0,0,5699.919673563209,5699.919673563209
2024-04-19,0,261.41378633784,261.41378633784,0,5699.919673563209,5699.919673563209
2024-04-18,0,0,0,0,5438.5058872253685,5438.5058872253685
2024-04-17,0,449.92419742032,449.92419742032,0,5438.5058872253685,5438.5058872253685
2024-04-16,0,42.64687034936,42.64687034936,0,4988.581689805049,4988.581689805049
2024-04-15,0,0,0,0,4945.934819455689,4945.934819455689
2024-04-14,0,0,0,0,4945.934819455689,4945.934819455689
2024-04-13,0,0,0,0,4945.934819455689,4945.934819455689
2024-04-12,0,0,0,0,4945.934819455689,4945.934819455689
2024-04-11,0,0.1187104776,0.1187104776,0,4945.934819455689,4945.934819455689
2024-04-10,0,41.23112524928,41.23112524928,0,4945.816108978089,4945.816108978089
2024-04-09,0,657.45194143476,657.45194143476,0,4904.584983728809,4904.584983728809
2024-04-08,0,277.28391085488,277.28391085488,0,4247.133042294049,4247.133042294049
2024-04-07,0,33.6000267633,33.6000267633,0,3969.849131439169,3969.849131439169
2024-04-06,0,0,0,0,3936.249104675869,3936.249104675869
2024-04-05,0,0,0,0,3936.249104675869,3936.249104675869
2024-04-04,0,0,0,0,3936.249104675869,3936.249104675869
2024-04-03,0,0,0,0,3936.249104675869,3936.249104675869
2024-04-02,0,0,0,0,3936.249104675869,3936.249104675869
2024-04-01,0,33.43089539652,33.43089539652,0,3936.249104675869,3936.249104675869
2024-03-31,0,108.73938574836001,108.73938574836001,0,3902.818209279349,3902.818209279349
2024-03-30,0,0,0,0,3794.078823530989,3794.078823530989
2024-03-29,0,253.60556638792002,253.60556638792002,0,3794.078823530989,3794.078823530989
2024-03-28,0,0,0,0,3540.473257143069,3540.473257143069
2024-03-27,0,0.06563576976,0.06563576976,0,3540.473257143069,3540.473257143069
2024-03-26,0,115.75568611016,115.75568611016,0,3540.407621373309,3540.407621373309
2024-03-25,0,368.16236944176,368.16236944176,0,3424.6519352631494,3424.6519352631494
2024-03-24,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-23,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-22,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-21,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-20,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-19,0,0,0,0,3056.4895658213895,3056.4895658213895
2024-03-18,0,198.13007136815997,198.13007136815997,0,3056.4895658213895,3056.4895658213895
2024-03-17,0,0,0,0,2858.3594944532297,2858.3594944532297
2024-03-16,0,0.10365854584,0.10365854584,0,2858.3594944532297,2858.3594944532297
2024-03-15,0,0,0,0,2858.2558359073896,2858.2558359073896
2024-03-14,0,0,0,0,2858.2558359073896,2858.2558359073896
2024-03-13,0,0,0,0,2858.2558359073896,2858.2558359073896
2024-03-12,0,0,0,0,2858.2558359073896,2858.2558359073896
2024-03-11,0,0,0,0,2858.2558359073896,2858.2558359073896
2024-03-10,0,16.52248722492,16.52248722492,0,2858.2558359073896,2858.2558359073896
2024-03-09,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-08,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-07,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-06,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-05,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-04,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-03,0,0,0,0,2841.7333486824696,2841.7333486824696
2024-03-02,0,146.41705446,146.41705446,0,2841.7333486824696,2841.7333486824696
2024-03-01,0,233.25911489472,233.25911489472,0,2695.3162942224694,2695.3162942224694
2024-02-29,0,79.0694958366,79.0694958366,0,2462.0571793277495,2462.0571793277495
2024-02-28,0,79.1808986028,79.1808986028,0,2382.9876834911497,2382.9876834911497
2024-02-27,0,0,0,0,2303.8067848883497,2303.8067848883497
2024-02-26,0,0,0,0,2303.8067848883497,2303.8067848883497
2024-02-25,0,0,0,0,2303.8067848883497,2303.8067848883497
2024-02-24,0,276.97409287581,276.97409287581,0,2303.8067848883497,2303.8067848883497
2024-02-23,0,492.93214977360003,492.93214977360003,0,2026.8326920125396,2026.8326920125396
2024-02-22,0,90.63491094215999,90.63491094215999,0,1533.9005422389396,1533.9005422389396
2024-02-21,0,89.006502624,89.006502624,0,1443.2656312967797,1443.2656312967797
2024-02-20,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-19,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-18,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-17,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-16,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-15,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-14,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-13,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-12,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-11,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-10,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-09,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-08,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-07,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-06,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-05,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-04,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-03,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-02,0,0,0,0,1354.2591286727798,1354.2591286727798
2024-02-01,0,2.05128540132,2.05128540132,0,1354.2591286727798,1354.2591286727798
2024-01-31,0,11.50660773792,11.50660773792,0,1352.2078432714598,1352.2078432714598
2024-01-30,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-29,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-28,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-27,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-26,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-25,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-24,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-23,0,0,0,0,1340.7012355335398,1340.7012355335398
2024-01-22,0,0.00339956508,0.00339956508,0,1340.7012355335398,1340.7012355335398
2024-01-21,0,0,0,0,1340.69783596846,1340.69783596846
2024-01-20,0,0,0,0,1340.69783596846,1340.69783596846
2024-01-19,0,0,0,0,1340.69783596846,1340.69783596846
2024-01-18,0,0,0,0,1340.69783596846,1340.69783596846
2024-01-17,0,15.1250914932,15.1250914932,0,1340.69783596846,1340.69783596846
2024-01-16,0,51.258995835600004,51.258995835600004,0,1325.57274447526,1325.57274447526
2024-01-15,0,0,0,0,1274.31374863966,1274.31374863966
2024-01-14,0,0,0,0,1274.31374863966,1274.31374863966
2024-01-13,0,0,0,0,1274.31374863966,1274.31374863966
2024-01-12,0,493.02428631408,493.02428631408,0,1274.31374863966,1274.31374863966
2024-01-11,0,0,0,0,781.28946232558,781.28946232558
2024-01-10,0,0,0,0,781.28946232558,781.28946232558
2024-01-09,0,0,0,0,781.28946232558,781.28946232558
2024-01-08,0,639.49870821298,639.49870821298,0,781.28946232558,781.28946232558
2024-01-07,0,0,0,0,141.7907541126,141.7907541126
2024-01-06,0,0,0,0,141.7907541126,141.7907541126
2024-01-05,0,0,0,0,141.7907541126,141.7907541126
2024-01-04,0,10.493642378759999,10.493642378759999,0,141.7907541126,141.7907541126
2024-01-03,0,0,0,0,131.29711173384,131.29711173384
