owner,add_num,remove_num,net_add_num
0x499bc55749168ab5def22882e09cccd34cbb16a0,11,4,7
0xcf4fbc2f3bea25a3eb0d1621dcb2a0842b0eb807,7,0,7
0xdcfe6611f60a162e2443b93fa2940a4aa16a6401,7,0,7
0xea135ca4d95efbb767e0f54025d260c0b8604e16,8,1,7
0x77358f27c52ccbe63bb82f72b660c2e969be8282,7,0,7
0xd6475c558a7220770b7b63df40ab4716d30584de,7,0,7
0x4d3eea39c9285458db24d470ea76ca40642d9c19,6,0,6
0x3e647e803457f812b648c5a4ee83166f05e32502,12,6,6
0xdb61e4d75ba9f2a68e7804f6819c5b5b6bae9b90,7,1,6
0x667c1b7dde10a6fc7040a244218231a63ed969d2,6,0,6
0x62b9f3f2b1e6139481e67ba804b6acc69ea607a9,6,0,6
0x06a45f4a92fa07e93b314790ee03bb754f5da628,6,0,6
0x8a3365afdadbe5fb31a0f33f2d61f7465fbd4639,5,0,5
0xfb4b6b889e8ba9e1aa424dad4da9f8ba6b83bb0a,5,0,5
0x5011e7fdf322848b3359b433d44e77d78d12aa4b,14,9,5
0xc36ba6cebe726bce433915c6efb405a17128de78,5,0,5
0x9de4bec45a1a51fc594165ec95f213070df31ec8,5,0,5
0x0b399d2667733659f4a5fdcb030f3e26d26cc0fe,5,0,5
0x8b529ef78046008f9d1fbc91c7407030de96ee32,7,3,4
0xdb4a083095419867c6303b7a2da28bb04db911b7,8,4,4
0xad9dcc65f65567e1e540ae5ca77690041a0306c4,4,0,4
0xc5ab2d628f8013f110920a27df0495a59b7aa686,5,1,4
0x12b97aa3e147ba629c503cfa35a81a33037907fc,4,0,4
0x21ab28261d274159a732a16c73a34df2a3fedcb3,4,0,4
0x8d84e1d10dd36de832549b525d09ae02825b84b5,4,0,4
0xd1cd6a8a11da825eba35a9d79dddcfc05ad3c5df,4,0,4
0xc7d6c002dfba1e50a8d70221916beb38fa1c2f1e,4,0,4
0x1ea2a0b4791468ec5a62b59f95616df4e79114cf,4,0,4
0x26655d43e3dfa4f7ef6ee94cef70eb64632e6d59,4,0,4
0x687c5b0e934df81b52a2baec6ffb0709c95a8d89,4,0,4
0x335b14494f0c574d0096cb32cb17360b3ffa2d15,4,0,4
0xb6dfd981d9dee4afbe498f3d7445462fb8e5157f,4,0,4
0x6a6c79d8da4d3b1c8963073529cd026b36817eb6,17,13,4
0xc3803f189d9b02c68f9970cb23cbceb6b229cbba,4,0,4
0xf53e025b12536fdec1fefbd18767a813b3437bf4,3,0,3
0xfacbeb3a6422116bbcc9f91f877fc2365076e38e,3,0,3
0x0585ad1deb132d483a8e73ce4d85b0cd228634a8,3,0,3
0xd226ae5c345df6d0138d2dec81f94fdac2b6d98b,7,4,3
0xfe67648a6b97751d7931e73b74a5b65917bdb06a,3,0,3
0x5f56421e53ec55a2b2d45434cc9580d91f12313c,5,2,3
0x12fb4b0dcf1969be83dfcbcc934d9191fcca0aaa,3,0,3
0x4de38c632d9fded48ff9912b280206d2902a6cf8,3,0,3
0x32332f03620803c66e1f2a15e00c85a8a3f6e9c2,5,2,3
0x4029b496d25322cb69dcb356bde69a7314bff0ef,5,2,3
0x4435afc02a9058485e8da96f2383076e05c26319,3,0,3
0x38caea3c9ad5519dfcc6c9b1b20e263da402e4ce,6,3,3
0x0bc66d25c63e75a1effdeead40df66823893a1c5,3,0,3
